species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
MYSE,full,2020,0.8922051709036852,0.08068642780044169,0.04035921246956065,0.01813053638014526
MYSE,full,2021,0.7670381215050949,0.10109003313300081,0.02530044650196923,0.015737133615432455
MYSE,full,2022,0.8631485868757242,0.09029628390702009,0.02916003659266258,0.017627262163459816
MYSE,full,2023,0.7441257168225717,0.11304865955948228,0.03394442097310153,0.02095075468994058
MYSE,rotation_2yr,2016,0.4077737803737482,0.11096559232974655,0.05539299218642118,0.03196048537750013
MYSE,rotation_2yr,2017,0.8478424088747214,0.10636764154801072,0.03822781948105782,0.027394337593816997
MYSE,rotation_2yr,2018,0.5972749872339934,0.13021613088812453,0.045241816279079264,0.019839573146704086
MYSE,rotation_2yr,2019,0.7296944461069417,0.10873728857864301,0.013650040649808645,0.012109835033447596
MYSE,rotation_2yr,2020,0.917530044976567,0.07436672247918433,0.04755501468917675,0.020252151821495715
MYSE,rotation_2yr,2021,0.7524698065378826,0.10727186139070015,0.028556977026641783,0.01875546992898523
MYSE,rotation_2yr,2022,0.7503141974010873,0.149687111096897,0.025709475703585203,0.01679549703182415
MYSE,rotation_2yr,2023,0.7700448099997748,0.13242313625129631,0.0554444623896211,0.02869140848468019
MYSE,rotation_3yr,2016,0.3976882296579101,0.11342863718135737,0.052795025436205574,0.031202667412525614
MYSE,rotation_3yr,2017,0.7944449509717696,0.12442357273239571,0.030230321205214964,0.023288266422128764
MYSE,rotation_3yr,2018,0.7880196192115292,0.11823772571326659,0.06525293521769239,0.02822623695958272
MYSE,rotation_3yr,2019,0.7096064284853459,0.11840046851178501,0.00957040053880361,0.00914964535940987
MYSE,rotation_3yr,2020,0.9140708851108414,0.07614561637341155,0.041094109667641654,0.020208640800463962
MYSE,rotation_3yr,2021,0.7470284568065348,0.10974788629613186,0.02206698806942333,0.016617592681715865
MYSE,rotation_3yr,2022,0.8630382729375603,0.11347877170755306,0.035672823429955904,0.020478822261818054
MYSE,rotation_3yr,2023,0.8511509905633657,0.11197694500122866,0.03659924500993735,0.024188081765138897
MYSE,rotation_4yr,2016,0.36671211930023884,0.11288575371993285,0.047731405464376306,0.02911969047850137
MYSE,rotation_4yr,2017,0.7663118145554224,0.13969337984728347,0.025123305946142295,0.019327316526894532
MYSE,rotation_4yr,2018,0.6784398124706028,0.14385814307569184,0.044077433115013005,0.01989590748138563
MYSE,rotation_4yr,2019,0.751155474119801,0.10975985269160946,0.01471758008847309,0.013643129395766628
MYSE,rotation_4yr,2020,0.8978881878437505,0.08909746733163358,0.04086384951580332,0.019904649875656613
MYSE,rotation_4yr,2021,0.5888223899010057,0.13912211024119273,0.015111363574395615,0.011874300201163547
MYSE,rotation_4yr,2022,0.878275949531343,0.10487778349144009,0.0320691348044157,0.018798601294986138
MYSE,rotation_4yr,2023,0.8700338465410932,0.09994394074191412,0.05836610105627996,0.03134576783443442
MYSE,rotation_5yr,2016,0.3889962215789998,0.11383200599769817,0.04922976779479307,0.030216398222152014
MYSE,rotation_5yr,2017,0.8368871678156835,0.11276604001456417,0.039510658602046146,0.02695329190771704
MYSE,rotation_5yr,2018,0.7462194171333892,0.12395573453456653,0.06674629370151829,0.026958883015636734
MYSE,rotation_5yr,2019,0.6090237768698178,0.12401196876947378,0.011951099892017461,0.010846436369697872
MYSE,rotation_5yr,2020,0.8990878056274514,0.08781463347994252,0.03418402940687862,0.018361875099853774
MYSE,rotation_5yr,2021,0.680240162530748,0.13016954745456172,0.017769182337967645,0.013720980634795163
MYSE,rotation_5yr,2022,0.8482697319849815,0.10554760489278106,0.04604039836496547,0.023428749002439003
MYSE,rotation_5yr,2023,0.8859679752901873,0.09014336569828409,0.03755827861330926,0.02461932633398106
