species,scenario,year,psi_mean,psi_lcl,psi_ucl
MYLU,rotation_4yr,2018,0.9612395833333334,0.9166666666666666,0.9895833333333334
MYLU,rotation_4yr,2019,0.9493277777777778,0.9166666666666666,0.9739583333333334
MYLU,rotation_4yr,2020,0.8854416666666667,0.84375,0.921875
MYLU,rotation_4yr,2021,0.9333090277777778,0.890625,0.9635416666666666
MYLU,rotation_4yr,2022,0.9143902777777778,0.875,0.9479166666666666
MYLU,rotation_4yr,2023,0.9680444444444445,0.9375,0.9895833333333334
MYLU,rotation_4yr,2024,0.9431368055555556,0.90625,0.96875
MYSE,full,2016,0.25359877112135176,0.16129032258064516,0.37327188940092165
MYSE,full,2017,0.14329278033794163,0.08294930875576037,0.21658986175115208
MYSE,full,2018,0.18422488479262672,0.1382488479262673,0.2350230414746544
MYSE,full,2019,0.17192933947772657,0.1382488479262673,0.2119815668202765
MYSE,full,2020,0.13792073732718893,0.10138248847926268,0.17511520737327188
MYSE,full,2021,0.14133026113671274,0.11059907834101383,0.17511520737327188
MYSE,full,2022,0.1712215053763441,0.14285714285714285,0.20276497695852536
MYSE,full,2023,0.17238648233486942,0.12903225806451613,0.22119815668202766
MYSE,full,2024,0.2070930875576037,0.16589861751152074,0.25806451612903225
MYSE,rotation_2yr,2016,0.27583350253807104,0.16751269035532995,0.4036802030456834
MYSE,rotation_2yr,2017,0.1548467005076142,0.09137055837563451,0.23857868020304568
MYSE,rotation_2yr,2018,0.19745245346869714,0.14213197969543148,0.2639593908629442
MYSE,rotation_2yr,2019,0.11745786802030457,0.08121827411167512,0.15736040609137056
MYSE,rotation_2yr,2020,0.11490355329949238,0.08121827411167512,0.15228426395939088
MYSE,rotation_2yr,2021,0.11909576988155668,0.08629441624365482,0.15736040609137056
MYSE,rotation_2yr,2022,0.1699695431472081,0.14720812182741116,0.20304568527918782
MYSE,rotation_2yr,2023,0.1673989847715736,0.1218274111675127,0.2182741116751269
MYSE,rotation_2yr,2024,0.22794111675126905,0.17766497461928935,0.2893401015228426
MYSE,rotation_3yr,2016,0.2718926495726496,0.16923076923076924,0.39487179487179486
MYSE,rotation_3yr,2017,0.14547760683760683,0.08205128205128205,0.22564102564102564
MYSE,rotation_3yr,2018,0.18181059829059829,0.12307692307692308,0.24615384615384617
MYSE,rotation_3yr,2019,0.16749470085470086,0.13333333333333333,0.2153846153846154
MYSE,rotation_3yr,2020,0.1315548717948718,0.09230769230769231,0.17435897435897435
MYSE,rotation_3yr,2021,0.13199726495726496,0.09230769230769231,0.17435897435897435
MYSE,rotation_3yr,2022,0.17309333333333332,0.14358974358974358,0.20512820512820512
MYSE,rotation_3yr,2023,0.17257777777777777,0.1282051282051282,0.2205128205128205
MYSE,rotation_3yr,2024,0.20374427350427352,0.14871794871794872,0.26666666666666666
MYSE,rotation_4yr,2016,0.2576319444444444,0.15625,0.3802083333333333
MYSE,rotation_4yr,2017,0.12481736111111111,0.07291666666666667,0.19791666666666666
MYSE,rotation_4yr,2018,0.15237777777777778,0.10416666666666667,0.21354166666666666
MYSE,rotation_4yr,2019,0.10833819444444444,0.07291666666666667,0.14583333333333334
MYSE,rotation_4yr,2020,0.11042083333333333,0.08333333333333333,0.140625
MYSE,rotation_4yr,2021,0.11495069444444445,0.08333333333333333,0.15104166666666666
MYSE,rotation_4yr,2022,0.14679305555555555,0.11458333333333333,0.18229166666666666
MYSE,rotation_4yr,2023,0.16407986111111111,0.11979166666666667,0.21875
MYSE,rotation_4yr,2024,0.23344791666666667,0.18229166666666666,0.296875
