species,scenario,year,psi_mean,psi_sd,psi_lcl,psi_ucl
MYSE,rotation_4yr,2016,0.2598873270226651,0.04700436195672356,0.17843866171003717,0.36059479553903345
MYSE,rotation_4yr,2017,0.1247868281251917,0.025879718469418295,0.08178438661710037,0.17843866171003717
MYSE,rotation_4yr,2018,0.11548292375705972,0.02105267901535485,0.07806691449814127,0.15985130111524162
MYSE,rotation_4yr,2019,0.11431477720262732,0.01623780550218017,0.08550185873605948,0.14869888475836432
MYSE,rotation_4yr,2020,0.09708851926084802,0.01390580803724303,0.07434944237918216,0.12639405204460966
MYSE,rotation_4yr,2021,0.12370679447126869,0.016373845519696027,0.09665427509293681,0.15985130111524162
MYSE,rotation_4yr,2022,0.08267666915390423,0.014841321051192267,0.055762081784386616,0.11524163568773234
MYSE,rotation_4yr,2023,0.1013856032443393,0.017688314909745345,0.07063197026022305,0.137546468401487
MYSE,rotation_4yr,2024,0.1403489791358318,0.021770040955201665,0.10408921933085502,0.1895910780669145
MYSE,rotation_5yr,2016,0.2718790818475787,0.04757894198956675,0.1856060606060606,0.3712121212121212
MYSE,rotation_5yr,2017,0.1360484533301815,0.02632080668905482,0.09090909090909091,0.19318181818181818
MYSE,rotation_5yr,2018,0.14691355499186282,0.024430900916795353,0.10227272727272728,0.20075757575757575
MYSE,rotation_5yr,2019,0.16511499634811966,0.019030183570352494,0.13257575757575757,0.20454545454545456
MYSE,rotation_5yr,2020,0.1073414159597778,0.018540561451961035,0.07196969696969698,0.14393939393939395
MYSE,rotation_5yr,2021,0.1266740310394676,0.016662566194739006,0.09848484848484848,0.16287878787878787
MYSE,rotation_5yr,2022,0.09879283382883743,0.016547918334801594,0.06818181818181818,0.13257575757575757
MYSE,rotation_5yr,2023,0.12480604121018163,0.018899942808731435,0.09090909090909091,0.16306818181817906
MYSE,rotation_5yr,2024,0.1429733882479157,0.01867114112425539,0.10984848484848485,0.18181818181818182
